"PROBEID","ENTREZID","SYMBOL","GSM894405_HD1.CEL","GSM894406_HD2.CEL","GSM894407_HD3.CEL","GSM894408_MM1.CEL","GSM894409_MM2.CEL","GSM894410_MM3.CEL","GSM894411_MM4.CEL"
"214296_x_at","113177","IZUMO4","4.91927225594265","5.00110422582114","4.99465523896603","4.99465523896603","4.99465523896603","5.10624477245214","4.84598642504906"
"214297_at","1464","CSPG4","6.4678824948208","6.79084413779604","5.69678376431027","4.37450438433168","5.69678376431027","5.50675220436458","5.55457092441966"
"214299_at","7156","TOP3A","5.11811871826839","5.27609328107974","5.61155553303873","5.11811871826839","5.23460859670867","5.11811871826839","4.69895692035489"
"214306_at","4976","OPA1","5.65571523058891","5.42943426163649","5.98319093593207","5.89682102343623","5.63320240019168","6.02250634152199","5.51050630424812"
"214310_s_at","7542","ZFPL1","4.7431894885377","4.67254072393453","4.87261681429511","4.69058199289486","4.88102195862111","4.72487432770701","4.38621892028117"
"214321_at","4856","CCN3","4.29751574642569","6.19004683046708","4.32551840227293","5.89682102343623","5.89682102343623","7.1258952584558","8.03413825357609"
"214322_at","818","CAMK2G","4.15943432521737","4.10820909077615","4.16498438953515","3.97330344092527","3.98692355532203","3.54142080290852","3.99331651766795"
"214323_s_at","65110","UPF3A","8.87833654890532","8.3575860486599","8.33613867303855","8.51292594546879","8.46623036018952","8.48845919444413","8.67779707398136"
"214329_x_at","8743","TNFSF10","2.15702645350073","2.60260743254404","2.39625737099309","2.93937358192033","2.14931743973764","2.50954864689053","2.53502484093078"
"214336_s_at","1314","COPA","5.94881704301506","6.15287508340961","6.81796399317558","6.66543178061489","6.1481311779863","5.9779327066336","6.15287508340961"
"214340_at","245","ALOX12P2","4.62836077707046","5.03902927191134","4.8283080743308","4.97636011639821","4.86430702815714","4.61349593745454","5.09469255608792"
"214346_at","10882","C1QL1","2.48974749311532","2.65789506143434","2.74079909989186","2.37484719513705","2.80757296000741","2.45471195954328","2.9094548914993"
"214348_at","6865","TACR2","3.95919243131415","3.83471762986219","3.97524448556035","3.9468874689288","3.89738990364819","3.89738990364819","3.89738990364819"
"214357_at","92346","C1orf105","4.16327905932519","4.0034805916493","3.77605520485896","3.74546030926886","3.92659199998332","3.92659199998332","3.92659199998332"
"214368_at","10235","RASGRP2","2.61500002720063","2.62573152705614","2.51414199357003","2.70140872306908","2.99176346399124","2.85721236200814","2.96098890617707"
"214371_at","23617","TSSK2","3.61188614844499","3.44935180528088","3.62121582114392","3.50341916348078","3.59089256387517","3.59089256387517","3.59089256387517"
"214374_s_at","8496","PPFIBP1","5.94779549504421","6.50237628326839","5.90554103606356","4.70747018097899","5.24459073158279","5.02340915668857","5.52573958246251"
"214377_s_at","1506","CTRL","3.9602415625712","3.8558046789347","4.02329989842601","3.82588457180022","3.8558046789347","3.73507702936126","3.78969586518271"
"214381_at","441601","SEPTIN7P11","3.67758049393645","3.67758049393645","3.66984429517385","3.7284010462015","3.67758049393645","3.61391224472595","3.62121582114392"
"214384_s_at","10540","DCTN2","3.3010356292999","3.90536639446536","3.41466890964483","3.55174261896856","3.59622370949667","3.63993414427897","3.59622370949667"
"214389_at","159963","SLC5A12","1.9724118412734","1.9724118412734","2.10096540113367","2.29280461804915","1.9103079351728","1.9724118412734","2.07671854853223"
"214391_x_at","5731","PTGER1","6.39229815496835","6.30659226467748","5.93669911413235","6.46072106747538","6.30659226467748","6.2221682900948","6.22661707840764"
"214392_at","56269","IRGC","3.11283437226044","3.11283437226044","3.27829593376376","3.32712709370902","3.1430087796061","3.1805922858957","3.08189672098283"
"214396_s_at","8932","MBD2","3.40164309201978","3.17965270254721","2.95416368855744","3.01626217358631","3.06592324382503","2.61500002720063","3.01626217358631"
"214399_s_at","3851","KRT4","3.33522362772772","3.15671570288416","3.28486131018362","3.53181802368912","3.33522362772772","3.29567349518257","3.48648759544199"
