row ID,row m/z,row retention time,row identity (main ID),120.mzXML Peak area,108.mzXML Peak area,114.mzXML Peak area,116.mzXML Peak area,122.mzXML Peak area,124.mzXML Peak area,138.mzXML Peak area,136.mzXML Peak area,142.mzXML Peak area,144.mzXML Peak area,146.mzXML Peak area,140.mzXML Peak area,
219,756.0597954778261,1.44724,,0,0,273.23907,0,237.65416,0,231.68982,241.88806,0,0,272.75345,0,
220,766.060662138227,1.4478029,,338.0929,0,457.52625,0,392.9081,0,457.10712,398.84888,0,0,431.07993,0,
221,770.5419047494007,1.4484972,,463.3027,0,703.8297,0,631.0188,0,724.80884,664.23456,0,0,703.2584,0,
223,560.9258618021977,1.4519472,,411.6255,0,577.1707,0,468.12213,0,578.4458,511.19974,0,0,560.8204,0,
224,372.5455705414408,1.452,,2959.1611,1221.1959,3620.7515,1164.3712,3527.2673,964.6977,3581.6917,3586.877,981.9153,1119.1046,3489.8928,837.74915,
225,744.0825418620465,1.4519986,NADP: 0.992,11836.235,3063.303,14516.761,3337.6938,14854.919,2114.2463,15999.151,15845.881,2225.1157,2827.6592,14631.168,2674.0627,
227,604.0230305056953,1.4528617,,898.5046,362.3595,1106.9578,369.9235,1092.4364,0,1128.4778,1151.8428,287.18008,349.00372,1061.9979,0,
228,622.0334987658358,1.453725,ADP-ribose 1: 0.935,1286.8823,436.31543,1587.1906,449.82062,1617.7343,383.53186,1695.733,1664.5112,391.36026,397.67294,1567.543,356.96674,
229,508.00279057723964,1.4540695,Adenosine triphosphate: 0.985,1130.6918,433.49063,1407.8047,504.10602,1316.84,322.44925,1537.8154,1433.9539,334.305,433.34686,1422.2471,336.04034,
230,797.0040931658223,1.457171,,0,0,360.132,0,0,0,343.63745,312.2662,0,0,350.4116,0,
232,656.9514280327596,1.4586208,,0,0,385.81546,0,365.25296,0,0,362.5595,0,0,373.54782,0,
233,527.0755163069214,1.4616084,,1555.8678,0,1553.4802,0,1627.217,0,1424.0415,1217.2533,0,0,1482.8638,0,
234,674.9578891652405,1.4616624,,771.83777,510.3423,973.92554,492.15717,848.5092,403.1631,894.9946,866.9422,454.00253,439.275,945.72327,333.09076,
235,229.11818534956785,1.4620682,Prolylhydroxyproline: 0.986,609.913,3245.3877,667.1544,2563.1729,0,1975.2106,763.9975,821.4376,2145.635,1863.0289,1277.9553,2357.9048,
237,487.1166756463522,1.4778763,4'-Methyl-(-)-epigallocatechin 3-(4-methyl-gallate): 0.534,2541.1797,3093.391,5735.2134,2944.9204,3300.4968,1669.0052,7562.5557,8215.383,1198.1349,4262.0605,5664.702,2123.3008,
238,200.99829028814565,1.4789667,Poppy acid: 0.222,0,572.781,0,519.8618,0,519.56866,0,0,425.21262,528.1232,0,409.08884,
239,196.03933388410678,1.4806376,"2,8-bis-Trifluoromethyl-4-quinoline carboxylic acid: 0.995",1401.6055,1950.9231,655.0912,1387.7356,987.62305,1047.9465,525.67206,968.9392,499.7776,1320.8346,1072.0886,1218.8193,
